"Dataset","Data_source","x","y","type","AUROC_label"
"KORA metabolomics","cGAN",0,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.001,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.002,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.00277777777777777,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.003,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.004,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.005,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.00555555555555554,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.006,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.007,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.008,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0083333333333333,0,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0083333333333333,0.0178571428571429,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0083333333333333,0.0357142857142857,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.009,0.0400000000000002,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.00972222222222219,0.0446428571428571,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.01,0.0464285714285717,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.011,0.0528571428571431,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0111111111111111,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.012,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.013,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0138888888888888,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.014,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.015,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.016,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0166666666666667,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.017,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.018,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.019,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0194444444444445,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.02,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.021,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.022,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0222222222222223,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.023,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.024,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.025,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.025,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.026,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.027,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0277777777777778,0.0535714285714286,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0277777777777778,0.0714285714285714,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.0277777777777778,0.0892857142857143,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.028,0.0892857142857143,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.029,0.0892857142857143,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
"KORA metabolomics","cGAN",0.03,0.0892857142857143,"Receiver Operating Characteristic Cruve","cGAN (AUROC=0.555)"
