"Response","Method","Predictor","Estimate","P","Bonferroni","Bonferroni_observedData","Sign_agreement"
"NeutralizationLevel","observed","OID20424",0.285910808501464,0.381196101891967,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20429",0.373030928970584,0.275832021195266,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20436",-0.0785908367141431,0.815197185056914,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20437",-0.063061571672453,0.850689694556514,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20438",0.0608004938752211,0.856743975719781,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20442",-0.0249058723229677,0.941103714862788,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20459",0.15832112471416,0.617766034290507,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20460",0.7418605944705,0.0658403215341494,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20462",0.0490176320291434,0.884085209067371,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20464",0.685695556641005,0.0712778164943806,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20473",0.56618731053641,0.111116878213325,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20475",-0.425067688930544,0.241915904854738,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20477",0.151832170743487,0.649835694586778,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20480",0.264814891641047,0.437409565372796,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20481",0.185040221422633,0.562272152680828,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20482",0.648850870850307,0.0723653522407287,FALSE,"Non-significant in observed data","Matching sign"
"NeutralizationLevel","observed","OID20483",-0.241186244774504,0.483229138866428,FALSE,"Non-significant in observed data","Matching sign"
